20 32 31 24 25 24 27 24 25 31
13 2 32 2 0 12 0 5 16 6
19 1 21 1 2 9 33 8 2 8
21 1 19 0 17 1 3 1 2 8
4 10 0 8 0 13 0 5 16 5
15 32 31 32 14 33 8 32 2 1
16 5 6 4 10 4 0 5 16 6
22 33 22 32 14 33 18 32 15 33
28 2 28 33 8 2 1 19 33 28
29 33 31 24 25 24 27 24 25 31
25 24 27 2 28 31 33 26 29 33
11 0 17 0 2 27 33 13 2 13
30 32 30 32 29 26 29 26 29 33
32 15 33 27 2 27 33 26 29 33
27 23 33 23 27 24 27 33 15 33
0 4 0 31 25 24 27 2 8 32
24 31 28 31 25 31 28 31 25 24
14 33 23 25 23 27 24 25 31 24
33 9 2 7 1 0 13 3 13 1
23 27 24 31 25 31 28 31 25 31
1 17 0 21 1 30 32 2 28 31
6 0 11 0 8 33 8 30 32 31
17 0 13 3 1 30 32 15 33 32
3 13 3 12 3 1 3 12 0 19
7 0 11 0 10 5 6 16 6 16
12 0 4 6 16 5 6 4 10 0
8 2 9 33 15 33 13 2 28 31
9 33 31 32 23 29 26 33 32 22
18 33 31 32 23 29 23 29 33 32
31 28 2 1 30 8 30 1 3 2
26 33 32 33 9 2 13 0 2 9
10 4 6 16 6 5 0 19 1 0
5 0 7 2 7 0 6 5 16 5
2 0 21 1 0 6 16 6 0 12
