20 33 20 32 20 32 23 25 23 27
13 0 7 0 11 0 31 24 27 23
19 33 20 33 18 33 19 0 17 0
21 1 21 1 3 13 2 32 23 27
4 10 0 12 0 21 1 7 0 13
15 33 14 32 2 7 2 32 15 32
16 6 16 6 5 0 10 5 0 13
22 33 20 33 18 32 23 25 31 0
28 33 14 32 2 7 2 32 15 32
29 26 33 13 33 28 2 9 2 0
25 23 25 23 32 33 20 32 8 30
11 0 7 0 10 5 16 6 4 0
30 1 21 0 12 3 1 3 0 13
32 23 25 23 32 30 1 3 0 13
27 33 15 33 19 33 20 33 18 33
0 19 33 28 33 9 33 20 32 15
24 27 23 32 20 32 29 23 33 30
14 33 30 32 8 2 27 24 27 2
33 32 22 32 8 2 7 2 8 30
23 27 23 25 24 27 24 31 32 15
1 30 1 3 12 0 8 30 33 20
6 4 0 31 33 23 33 14 33 14
17 1 13 1 13 1 13 33 19 33
3 2 13 33 32 31 25 31 24 27
7 2 13 1 7 2 9 33 30 1
12 0 19 33 14 32 8 30 32 22
8 32 22 32 31 28 33 23 25 24
9 33 8 0 8 32 31 24 31 28
18 32 22 32 31 28 31 24 31 28
31 25 24 27 23 32 31 24 25 24
26 33 32 31 32 2 27 2 27 33
10 4 0 17 1 17 0 12 3 0
5 0 4 0 19 33 26 29 26 29
2 27 24 25 23 29 23 33 26 29
